Student,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34
Student1, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 4, 4, 3, , , , , , , , , , , , 
Student2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 2, , , , , , , , , , , , 
Student3, 0, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 3, 4, 4, 4, 1, 4, 4, , , , , , , , , , , , 
Student4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student5, 0, 1, 3, 2, 4, 0, 2, 3, 1, 4, 0, 1, 4, 3, 2, 0, 3, 2, 1, 4, 0, 0, , , , , , , , , , , , 
Student6, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, , , , , , , , , , , , 
Student7, 4, 3, 3, 4, 4, 4, 4, 4, 4, 2, 3, 2, 3, 4, 4, 4, 2, 3, 3, 2, 3, 3, , , , , , , , , , , , 
Student8, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 2, 3, , , , , , , , , , , , 
Student9, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, , , , , , , , , , , , 
Student10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student11, 4, 3, 2, 4, 3, 4, 2, 2, 3, 4, 4, 2, 3, 4, 4, 4, 2, 3, 4, 4, 4, 0, , , , , , , , , , , , 
Student12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student14, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 2, 1, 3, 4, 4, 4, 3, 4, 3, 3, 2, , , , , , , , , , , , 
Student15, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, , , , , , , , , , , , 
Student16, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 3, 2, , , , , , , , , , , , 
Student17, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, , , , , , , , , , , , 
